ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Activo
6660,7833.78,1994,75,7,1
6661,1728.615,302,64,8,1
6662,216.69,69,18,5,1
6663,1888.59,431,51,6,1
6664,460.77,140,30,5,1
6665,9277.47,2193,70,7,1
6666,361.26,92,8,5,1
6667,115.035,29,10,2,0
6668,2801.7,675,67,7,1
6669,13802.97,3114,105,7,1
6670,1638.435,416,49,6,1
6671,918.975,311,48,7,1
6672,30.12,12,11,4,0
6673,31.335,7,2,1,0
6674,1645.005,489,60,7,1
6675,584.25,136,26,6,0
6676,27.689999999999998,10,23,7,0
6677,8509.725,2043,68,7,1
6678,10844.4,2778,94,8,1
6679,2878.62,831,60,7,1
6680,11278.035,2615,94,8,1
6681,10420.935,2392,96,7,1
6682,1782.675,464,65,7,1
6683,1991.685,505,57,7,1
6684,348.24,99,22,6,1
6685,647.955,191,38,7,1
6686,6132.6,1400,74,7,1
6687,1484.025,356,51,6,1
6688,1910.55,537,61,8,1
6689,742.335,222,48,7,1
6690,439.98,142,34,5,1
6691,99.06,26,12,3,0
6692,418.035,96,20,4,1
6693,41.145,13,7,2,0
6694,2771.64,670,60,7,1
6695,4970.58,995,47,7,1
6696,2849.535,692,66,7,1
6697,1335.225,445,62,7,1
6698,3355.59,798,73,8,1
6699,2487.585,540,49,6,1
6700,193.995,66,22,5,1
6701,320.925,100,33,5,0
6702,4646.055,1291,78,8,1
6703,3499.2,922,68,7,1
6704,576.405,170,33,6,1
6705,3019.98,694,62,7,1
6706,37.305,7,3,1,0
6707,2664.135,751,75,7,1
6708,163.98,51,22,5,0
6709,8645.7,1831,58,7,1
6710,4997.07,1124,57,7,1
6711,628.365,182,46,7,1
6712,12261.45,2691,101,8,1
6713,732.765,222,30,5,1
6714,3922.275,924,72,7,1
6715,493.035,146,35,5,1
6716,1047.705,236,38,6,1
6717,1990.725,543,66,6,1
6718,2077.38,609,62,7,1
6719,4897.365,1237,78,8,1
6720,697.47,178,11,2,1
6721,502.74,155,39,7,1
6722,5047.305,1341,84,8,1
6723,261.24,81,24,5,1
6724,2182.02,520,53,7,1
6725,6455.625,1288,47,6,1
6726,8002.635,1656,50,6,1
6727,650.34,185,38,6,1
6728,2674.695,613,42,8,1
6729,421.365,109,10,3,1
6730,948.195,251,23,3,1
6731,763.695,237,35,6,1
6732,1721.085,499,56,7,1
6733,1610.97,498,49,7,1
6734,43.095,12,7,2,0
6735,1322.85,361,59,7,1
6736,11764.005000000001,2559,84,8,1
6737,4643.22,733,37,6,1
6738,2463.975,680,66,7,1
6739,3267.855,857,70,8,1
6740,464.64000000000004,104,23,3,0
